epoch   0 | train loss: 1.8594 | test loss: 1.7312 | test acc: 36.18 | train time: 93.251 | test time: 39.968 | lr: 1.0e-01
epoch   1 | train loss: 1.5935 | test loss: 1.4896 | test acc: 44.61 | train time: 21.227 | test time: 1.145 | lr: 1.0e-01
epoch   2 | train loss: 1.3199 | test loss: 1.2146 | test acc: 55.75 | train time: 16.815 | test time: 0.578 | lr: 1.0e-01
epoch   3 | train loss: 1.1160 | test loss: 1.0746 | test acc: 61.65 | train time: 16.749 | test time: 0.568 | lr: 1.0e-01
epoch   4 | train loss: 0.9685 | test loss: 0.9825 | test acc: 65.48 | train time: 16.794 | test time: 0.563 | lr: 1.0e-01
epoch   5 | train loss: 0.8498 | test loss: 0.8336 | test acc: 70.96 | train time: 16.754 | test time: 0.566 | lr: 1.0e-01
epoch   6 | train loss: 0.7479 | test loss: 0.8261 | test acc: 71.45 | train time: 16.796 | test time: 0.571 | lr: 1.0e-01
epoch   7 | train loss: 0.6669 | test loss: 0.7186 | test acc: 75.25 | train time: 16.780 | test time: 0.572 | lr: 1.0e-01
epoch   8 | train loss: 0.6009 | test loss: 0.6520 | test acc: 77.32 | train time: 16.774 | test time: 0.558 | lr: 1.0e-01
epoch   9 | train loss: 0.5422 | test loss: 0.6648 | test acc: 77.90 | train time: 16.779 | test time: 0.565 | lr: 1.0e-01
epoch  10 | train loss: 0.4986 | test loss: 0.5997 | test acc: 80.28 | train time: 16.814 | test time: 0.570 | lr: 1.0e-01
epoch  11 | train loss: 0.4668 | test loss: 0.5332 | test acc: 81.82 | train time: 16.799 | test time: 0.566 | lr: 1.0e-01
epoch  12 | train loss: 0.4307 | test loss: 0.4766 | test acc: 84.06 | train time: 16.775 | test time: 0.549 | lr: 1.0e-01
epoch  13 | train loss: 0.4094 | test loss: 0.5493 | test acc: 81.94 | train time: 17.280 | test time: 0.572 | lr: 1.0e-01
epoch  14 | train loss: 0.3770 | test loss: 0.5261 | test acc: 82.14 | train time: 16.801 | test time: 0.567 | lr: 1.0e-01
epoch  15 | train loss: 0.3618 | test loss: 0.4803 | test acc: 84.47 | train time: 16.794 | test time: 0.562 | lr: 1.0e-01
epoch  16 | train loss: 0.3416 | test loss: 0.4682 | test acc: 84.53 | train time: 16.782 | test time: 0.564 | lr: 1.0e-01
epoch  17 | train loss: 0.3239 | test loss: 0.4241 | test acc: 85.80 | train time: 16.764 | test time: 0.570 | lr: 1.0e-01
epoch  18 | train loss: 0.3122 | test loss: 0.4218 | test acc: 86.20 | train time: 16.781 | test time: 0.576 | lr: 1.0e-01
epoch  19 | train loss: 0.2972 | test loss: 0.5244 | test acc: 84.08 | train time: 16.774 | test time: 0.568 | lr: 1.0e-01
epoch  20 | train loss: 0.2956 | test loss: 0.5313 | test acc: 83.28 | train time: 16.766 | test time: 0.580 | lr: 1.0e-01
epoch  21 | train loss: 0.2821 | test loss: 0.4284 | test acc: 86.08 | train time: 16.810 | test time: 0.559 | lr: 1.0e-01
epoch  22 | train loss: 0.2699 | test loss: 0.3870 | test acc: 87.41 | train time: 16.793 | test time: 0.550 | lr: 1.0e-01
epoch  23 | train loss: 0.2603 | test loss: 0.4094 | test acc: 86.97 | train time: 16.774 | test time: 0.574 | lr: 1.0e-01
epoch  24 | train loss: 0.2591 | test loss: 0.3932 | test acc: 86.92 | train time: 17.319 | test time: 0.553 | lr: 1.0e-01
epoch  25 | train loss: 0.2504 | test loss: 0.3774 | test acc: 87.71 | train time: 16.798 | test time: 0.571 | lr: 1.0e-01
epoch  26 | train loss: 0.2479 | test loss: 0.4993 | test acc: 84.34 | train time: 16.799 | test time: 0.549 | lr: 1.0e-01
epoch  27 | train loss: 0.2433 | test loss: 0.4081 | test acc: 86.27 | train time: 16.791 | test time: 0.574 | lr: 1.0e-01
epoch  28 | train loss: 0.2385 | test loss: 0.4279 | test acc: 86.44 | train time: 16.826 | test time: 0.555 | lr: 1.0e-01
epoch  29 | train loss: 0.2364 | test loss: 0.3875 | test acc: 87.44 | train time: 16.818 | test time: 0.570 | lr: 1.0e-01
epoch  30 | train loss: 0.2345 | test loss: 0.3494 | test acc: 88.24 | train time: 16.802 | test time: 0.571 | lr: 1.0e-01
epoch  31 | train loss: 0.2299 | test loss: 0.4201 | test acc: 86.75 | train time: 16.799 | test time: 0.556 | lr: 1.0e-01
epoch  32 | train loss: 0.2283 | test loss: 0.4467 | test acc: 85.38 | train time: 16.786 | test time: 0.580 | lr: 1.0e-01
epoch  33 | train loss: 0.2232 | test loss: 0.4011 | test acc: 87.11 | train time: 16.777 | test time: 0.574 | lr: 1.0e-01
epoch  34 | train loss: 0.2262 | test loss: 0.4160 | test acc: 86.66 | train time: 16.822 | test time: 0.572 | lr: 1.0e-01
epoch  35 | train loss: 0.2222 | test loss: 0.4205 | test acc: 86.88 | train time: 16.788 | test time: 0.559 | lr: 1.0e-01
epoch  36 | train loss: 0.2222 | test loss: 0.3908 | test acc: 87.70 | train time: 17.306 | test time: 0.570 | lr: 1.0e-01
epoch  37 | train loss: 0.2194 | test loss: 0.3930 | test acc: 87.46 | train time: 16.778 | test time: 0.559 | lr: 1.0e-01
epoch  38 | train loss: 0.2214 | test loss: 0.4614 | test acc: 85.23 | train time: 16.794 | test time: 0.567 | lr: 1.0e-01
epoch  39 | train loss: 0.2099 | test loss: 0.4125 | test acc: 86.88 | train time: 16.819 | test time: 0.562 | lr: 1.0e-01
epoch  40 | train loss: 0.2136 | test loss: 0.4423 | test acc: 85.94 | train time: 16.814 | test time: 0.567 | lr: 1.0e-01
epoch  41 | train loss: 0.2103 | test loss: 0.3927 | test acc: 87.85 | train time: 16.783 | test time: 0.560 | lr: 1.0e-01
epoch  42 | train loss: 0.2090 | test loss: 0.4389 | test acc: 86.50 | train time: 16.822 | test time: 0.560 | lr: 1.0e-01
