epoch   0 | train loss: 1.8301 | test loss: 1.5152 | test acc: 44.35 | train time: 46.216 | test time: 20.804 | lr: 1.0e-02
epoch   1 | train loss: 1.9301 | test loss: 1.4962 | test acc: 43.89 | train time: 9.560 | test time: 0.710 | lr: 1.0e-01
epoch   2 | train loss: 1.3600 | test loss: 1.2721 | test acc: 54.99 | train time: 7.653 | test time: 0.408 | lr: 1.0e-01
epoch   3 | train loss: 1.0392 | test loss: 1.1753 | test acc: 61.85 | train time: 7.635 | test time: 0.396 | lr: 1.0e-01
epoch   4 | train loss: 0.8414 | test loss: 0.8553 | test acc: 70.54 | train time: 7.643 | test time: 0.386 | lr: 1.0e-01
epoch   5 | train loss: 0.7315 | test loss: 0.8103 | test acc: 72.65 | train time: 7.652 | test time: 0.389 | lr: 1.0e-01
epoch   6 | train loss: 0.6551 | test loss: 0.7107 | test acc: 77.85 | train time: 7.660 | test time: 0.398 | lr: 1.0e-01
epoch   7 | train loss: 0.6002 | test loss: 0.7391 | test acc: 75.58 | train time: 7.645 | test time: 0.386 | lr: 1.0e-01
epoch   8 | train loss: 0.5489 | test loss: 0.6309 | test acc: 78.92 | train time: 7.660 | test time: 0.390 | lr: 1.0e-01
epoch   9 | train loss: 0.5182 | test loss: 0.7184 | test acc: 75.66 | train time: 7.646 | test time: 0.400 | lr: 1.0e-01
epoch  10 | train loss: 0.4824 | test loss: 0.6498 | test acc: 78.74 | train time: 7.657 | test time: 0.393 | lr: 1.0e-01
epoch  11 | train loss: 0.4551 | test loss: 0.5286 | test acc: 82.67 | train time: 7.641 | test time: 0.384 | lr: 1.0e-01
epoch  12 | train loss: 0.4339 | test loss: 0.5431 | test acc: 82.29 | train time: 7.648 | test time: 0.391 | lr: 1.0e-01
epoch  13 | train loss: 0.4109 | test loss: 0.5195 | test acc: 82.94 | train time: 7.644 | test time: 0.395 | lr: 1.0e-01
epoch  14 | train loss: 0.3925 | test loss: 0.5301 | test acc: 82.76 | train time: 7.673 | test time: 0.395 | lr: 1.0e-01
epoch  15 | train loss: 0.3771 | test loss: 0.5568 | test acc: 82.56 | train time: 7.656 | test time: 0.392 | lr: 1.0e-01
epoch  16 | train loss: 0.3567 | test loss: 0.5137 | test acc: 83.46 | train time: 7.648 | test time: 0.388 | lr: 1.0e-01
epoch  17 | train loss: 0.3463 | test loss: 0.5443 | test acc: 82.32 | train time: 7.652 | test time: 0.398 | lr: 1.0e-01
epoch  18 | train loss: 0.3355 | test loss: 0.4590 | test acc: 84.92 | train time: 7.654 | test time: 0.389 | lr: 1.0e-01
epoch  19 | train loss: 0.3231 | test loss: 0.4822 | test acc: 84.18 | train time: 7.646 | test time: 0.384 | lr: 1.0e-01
epoch  20 | train loss: 0.3091 | test loss: 0.4992 | test acc: 84.10 | train time: 7.644 | test time: 0.405 | lr: 1.0e-01
epoch  21 | train loss: 0.3040 | test loss: 0.4330 | test acc: 85.40 | train time: 7.648 | test time: 0.407 | lr: 1.0e-01
epoch  22 | train loss: 0.2928 | test loss: 0.5462 | test acc: 83.22 | train time: 7.621 | test time: 0.384 | lr: 1.0e-01
epoch  23 | train loss: 0.2844 | test loss: 0.4777 | test acc: 85.06 | train time: 7.611 | test time: 0.396 | lr: 1.0e-01
epoch  24 | train loss: 0.2775 | test loss: 0.4131 | test acc: 86.68 | train time: 7.570 | test time: 0.386 | lr: 1.0e-01
epoch  25 | train loss: 0.2674 | test loss: 0.4643 | test acc: 85.83 | train time: 7.589 | test time: 0.394 | lr: 1.0e-01
epoch  26 | train loss: 0.2607 | test loss: 0.5263 | test acc: 83.89 | train time: 7.658 | test time: 0.380 | lr: 1.0e-01
epoch  27 | train loss: 0.2584 | test loss: 0.4549 | test acc: 85.87 | train time: 7.633 | test time: 0.388 | lr: 1.0e-01
epoch  28 | train loss: 0.2555 | test loss: 0.3936 | test acc: 87.45 | train time: 7.669 | test time: 0.395 | lr: 1.0e-01
epoch  29 | train loss: 0.2429 | test loss: 0.5231 | test acc: 84.08 | train time: 7.654 | test time: 0.390 | lr: 1.0e-01
epoch  30 | train loss: 0.2418 | test loss: 0.4395 | test acc: 86.55 | train time: 7.630 | test time: 0.388 | lr: 1.0e-01
epoch  31 | train loss: 0.2425 | test loss: 0.4001 | test acc: 87.25 | train time: 7.636 | test time: 0.389 | lr: 1.0e-01
epoch  32 | train loss: 0.2346 | test loss: 0.3678 | test acc: 87.91 | train time: 7.642 | test time: 0.396 | lr: 1.0e-01
epoch  33 | train loss: 0.2265 | test loss: 0.4583 | test acc: 86.16 | train time: 7.651 | test time: 0.389 | lr: 1.0e-01
epoch  34 | train loss: 0.2210 | test loss: 0.4532 | test acc: 86.00 | train time: 7.636 | test time: 0.386 | lr: 1.0e-01
epoch  35 | train loss: 0.2252 | test loss: 0.4580 | test acc: 85.58 | train time: 7.627 | test time: 0.393 | lr: 1.0e-01
epoch  36 | train loss: 0.2148 | test loss: 0.4413 | test acc: 86.83 | train time: 7.648 | test time: 0.393 | lr: 1.0e-01
epoch  37 | train loss: 0.2113 | test loss: 0.4921 | test acc: 85.47 | train time: 7.662 | test time: 0.393 | lr: 1.0e-01
epoch  38 | train loss: 0.2096 | test loss: 0.4424 | test acc: 86.85 | train time: 7.662 | test time: 0.395 | lr: 1.0e-01
epoch  39 | train loss: 0.2119 | test loss: 0.3529 | test acc: 88.37 | train time: 7.661 | test time: 0.393 | lr: 1.0e-01
epoch  40 | train loss: 0.2027 | test loss: 0.4014 | test acc: 87.72 | train time: 7.640 | test time: 0.386 | lr: 1.0e-01
epoch  41 | train loss: 0.1997 | test loss: 0.3838 | test acc: 88.38 | train time: 7.646 | test time: 0.397 | lr: 1.0e-01
epoch  42 | train loss: 0.2040 | test loss: 0.4574 | test acc: 86.29 | train time: 7.657 | test time: 0.387 | lr: 1.0e-01
epoch  43 | train loss: 0.1961 | test loss: 0.5241 | test acc: 84.75 | train time: 7.611 | test time: 0.398 | lr: 1.0e-01
epoch  44 | train loss: 0.1943 | test loss: 0.4169 | test acc: 87.54 | train time: 7.677 | test time: 0.395 | lr: 1.0e-01
epoch  45 | train loss: 0.1941 | test loss: 0.4127 | test acc: 87.67 | train time: 7.648 | test time: 0.389 | lr: 1.0e-01
epoch  46 | train loss: 0.1910 | test loss: 0.4005 | test acc: 87.96 | train time: 7.731 | test time: 0.390 | lr: 1.0e-01
epoch  47 | train loss: 0.1881 | test loss: 0.4703 | test acc: 86.35 | train time: 7.665 | test time: 0.383 | lr: 1.0e-01
epoch  48 | train loss: 0.1851 | test loss: 0.4896 | test acc: 85.33 | train time: 7.644 | test time: 0.395 | lr: 1.0e-01
epoch  49 | train loss: 0.1841 | test loss: 0.3676 | test acc: 88.83 | train time: 7.639 | test time: 0.392 | lr: 1.0e-01
epoch  50 | train loss: 0.1802 | test loss: 0.4736 | test acc: 86.20 | train time: 7.634 | test time: 0.388 | lr: 1.0e-01
epoch  51 | train loss: 0.1787 | test loss: 0.4220 | test acc: 87.73 | train time: 7.862 | test time: 0.393 | lr: 1.0e-01
epoch  52 | train loss: 0.1803 | test loss: 0.4542 | test acc: 86.44 | train time: 7.650 | test time: 0.389 | lr: 1.0e-01
epoch  53 | train loss: 0.1788 | test loss: 0.3365 | test acc: 89.29 | train time: 7.655 | test time: 0.391 | lr: 1.0e-01
epoch  54 | train loss: 0.1742 | test loss: 0.4038 | test acc: 87.96 | train time: 7.640 | test time: 0.384 | lr: 1.0e-01
epoch  55 | train loss: 0.1705 | test loss: 0.4276 | test acc: 87.75 | train time: 7.584 | test time: 0.404 | lr: 1.0e-01
epoch  56 | train loss: 0.1714 | test loss: 0.4586 | test acc: 86.73 | train time: 7.653 | test time: 0.384 | lr: 1.0e-01
epoch  57 | train loss: 0.1776 | test loss: 0.4084 | test acc: 87.44 | train time: 7.635 | test time: 0.389 | lr: 1.0e-01
epoch  58 | train loss: 0.1709 | test loss: 0.4395 | test acc: 86.78 | train time: 7.631 | test time: 0.383 | lr: 1.0e-01
epoch  59 | train loss: 0.1690 | test loss: 0.4518 | test acc: 86.58 | train time: 7.622 | test time: 0.393 | lr: 1.0e-01
epoch  60 | train loss: 0.1675 | test loss: 0.5409 | test acc: 85.00 | train time: 7.660 | test time: 0.404 | lr: 1.0e-01
epoch  61 | train loss: 0.1624 | test loss: 0.3765 | test acc: 88.87 | train time: 7.638 | test time: 0.386 | lr: 1.0e-01
epoch  62 | train loss: 0.1641 | test loss: 0.3728 | test acc: 88.81 | train time: 7.653 | test time: 0.385 | lr: 1.0e-01
epoch  63 | train loss: 0.1626 | test loss: 0.3609 | test acc: 88.91 | train time: 7.889 | test time: 0.400 | lr: 1.0e-01
epoch  64 | train loss: 0.1632 | test loss: 0.3783 | test acc: 88.42 | train time: 7.619 | test time: 0.393 | lr: 1.0e-01
epoch  65 | train loss: 0.1590 | test loss: 0.4019 | test acc: 88.37 | train time: 7.647 | test time: 0.388 | lr: 1.0e-01
epoch  66 | train loss: 0.1615 | test loss: 0.4322 | test acc: 87.22 | train time: 7.642 | test time: 0.396 | lr: 1.0e-01
epoch  67 | train loss: 0.1591 | test loss: 0.4250 | test acc: 87.68 | train time: 7.635 | test time: 0.402 | lr: 1.0e-01
epoch  68 | train loss: 0.1578 | test loss: 0.4466 | test acc: 86.88 | train time: 7.631 | test time: 0.383 | lr: 1.0e-01
epoch  69 | train loss: 0.1658 | test loss: 0.4453 | test acc: 86.46 | train time: 7.631 | test time: 0.396 | lr: 1.0e-01
epoch  70 | train loss: 0.1601 | test loss: 0.5434 | test acc: 85.47 | train time: 7.626 | test time: 0.398 | lr: 1.0e-01
epoch  71 | train loss: 0.1562 | test loss: 0.4198 | test acc: 88.19 | train time: 7.647 | test time: 0.397 | lr: 1.0e-01
epoch  72 | train loss: 0.1598 | test loss: 0.3932 | test acc: 88.50 | train time: 7.648 | test time: 0.401 | lr: 1.0e-01
epoch  73 | train loss: 0.1568 | test loss: 0.3968 | test acc: 87.82 | train time: 7.646 | test time: 0.398 | lr: 1.0e-01
epoch  74 | train loss: 0.1500 | test loss: 0.3709 | test acc: 88.90 | train time: 7.743 | test time: 0.398 | lr: 1.0e-01
epoch  75 | train loss: 0.1535 | test loss: 0.4424 | test acc: 87.30 | train time: 7.642 | test time: 0.389 | lr: 1.0e-01
epoch  76 | train loss: 0.1531 | test loss: 0.4767 | test acc: 86.72 | train time: 7.658 | test time: 0.387 | lr: 1.0e-01
epoch  77 | train loss: 0.1575 | test loss: 0.3805 | test acc: 88.75 | train time: 7.644 | test time: 0.385 | lr: 1.0e-01
epoch  78 | train loss: 0.1506 | test loss: 0.5731 | test acc: 84.67 | train time: 7.626 | test time: 0.402 | lr: 1.0e-01
epoch  79 | train loss: 0.1504 | test loss: 0.4597 | test acc: 86.65 | train time: 7.634 | test time: 0.391 | lr: 1.0e-01
epoch  80 | train loss: 0.1493 | test loss: 0.4703 | test acc: 86.78 | train time: 7.633 | test time: 0.391 | lr: 1.0e-01
epoch  81 | train loss: 0.1425 | test loss: 0.4695 | test acc: 86.64 | train time: 7.660 | test time: 0.387 | lr: 1.0e-01
epoch  82 | train loss: 0.1561 | test loss: 0.3991 | test acc: 88.65 | train time: 7.641 | test time: 0.386 | lr: 1.0e-01
epoch  83 | train loss: 0.1488 | test loss: 0.4545 | test acc: 87.25 | train time: 7.663 | test time: 0.386 | lr: 1.0e-01
epoch  84 | train loss: 0.1452 | test loss: 0.3668 | test acc: 89.14 | train time: 7.642 | test time: 0.390 | lr: 1.0e-01
epoch  85 | train loss: 0.1498 | test loss: 0.3878 | test acc: 88.67 | train time: 7.659 | test time: 0.392 | lr: 1.0e-01
epoch  86 | train loss: 0.1455 | test loss: 0.4411 | test acc: 87.92 | train time: 7.639 | test time: 0.393 | lr: 1.0e-01
epoch  87 | train loss: 0.1522 | test loss: 0.3894 | test acc: 88.63 | train time: 7.644 | test time: 0.388 | lr: 1.0e-01
epoch  88 | train loss: 0.1427 | test loss: 0.4076 | test acc: 88.71 | train time: 7.648 | test time: 0.388 | lr: 1.0e-01
epoch  89 | train loss: 0.1495 | test loss: 0.3695 | test acc: 88.89 | train time: 7.644 | test time: 0.395 | lr: 1.0e-01
epoch  90 | train loss: 0.1434 | test loss: 0.3976 | test acc: 88.46 | train time: 7.652 | test time: 0.393 | lr: 1.0e-01
epoch  91 | train loss: 0.1469 | test loss: 0.4766 | test acc: 86.87 | train time: 7.645 | test time: 0.390 | lr: 1.0e-01
epoch  92 | train loss: 0.1425 | test loss: 0.4278 | test acc: 87.45 | train time: 7.641 | test time: 0.396 | lr: 1.0e-01
epoch  93 | train loss: 0.1420 | test loss: 0.3854 | test acc: 88.62 | train time: 7.645 | test time: 0.408 | lr: 1.0e-01
epoch  94 | train loss: 0.1421 | test loss: 0.4491 | test acc: 87.10 | train time: 7.648 | test time: 0.388 | lr: 1.0e-01
epoch  95 | train loss: 0.1453 | test loss: 0.4902 | test acc: 86.89 | train time: 7.641 | test time: 0.391 | lr: 1.0e-01
epoch  96 | train loss: 0.1421 | test loss: 0.4189 | test acc: 88.18 | train time: 7.642 | test time: 0.393 | lr: 1.0e-01
epoch  97 | train loss: 0.1390 | test loss: 0.4089 | test acc: 87.86 | train time: 7.641 | test time: 0.391 | lr: 1.0e-01
epoch  98 | train loss: 0.1459 | test loss: 0.4271 | test acc: 87.66 | train time: 7.652 | test time: 0.392 | lr: 1.0e-01
epoch  99 | train loss: 0.1391 | test loss: 0.4297 | test acc: 88.08 | train time: 7.661 | test time: 0.388 | lr: 1.0e-01
epoch 100 | train loss: 0.0657 | test loss: 0.2422 | test acc: 92.76 | train time: 7.645 | test time: 0.415 | lr: 1.0e-02
epoch 101 | train loss: 0.0401 | test loss: 0.2415 | test acc: 93.06 | train time: 7.653 | test time: 0.395 | lr: 1.0e-02
epoch 102 | train loss: 0.0319 | test loss: 0.2482 | test acc: 93.22 | train time: 7.643 | test time: 0.391 | lr: 1.0e-02
epoch 103 | train loss: 0.0262 | test loss: 0.2472 | test acc: 93.20 | train time: 7.650 | test time: 0.396 | lr: 1.0e-02
epoch 104 | train loss: 0.0233 | test loss: 0.2514 | test acc: 93.17 | train time: 7.624 | test time: 0.393 | lr: 1.0e-02
epoch 105 | train loss: 0.0200 | test loss: 0.2507 | test acc: 93.42 | train time: 7.625 | test time: 0.401 | lr: 1.0e-02
epoch 106 | train loss: 0.0187 | test loss: 0.2546 | test acc: 93.54 | train time: 7.648 | test time: 0.395 | lr: 1.0e-02
epoch 107 | train loss: 0.0173 | test loss: 0.2581 | test acc: 93.50 | train time: 7.591 | test time: 0.392 | lr: 1.0e-02
epoch 108 | train loss: 0.0149 | test loss: 0.2616 | test acc: 93.47 | train time: 7.607 | test time: 0.399 | lr: 1.0e-02
epoch 109 | train loss: 0.0145 | test loss: 0.2622 | test acc: 93.28 | train time: 7.594 | test time: 0.393 | lr: 1.0e-02
epoch 110 | train loss: 0.0132 | test loss: 0.2624 | test acc: 93.50 | train time: 7.644 | test time: 0.410 | lr: 1.0e-02
epoch 111 | train loss: 0.0116 | test loss: 0.2700 | test acc: 93.44 | train time: 7.642 | test time: 0.406 | lr: 1.0e-02
